name,type,value,date
俾斯麦,Andriod,22232,2018-08-04
列克星敦,iOS,19285,2018-08-04
皇家方舟,iOS,18574,2018-08-04
昆西,Andriod,18137,2018-08-04
欧根亲王,iOS,17707,2018-08-04
声望,Andriod,17391,2018-08-04
萨拉托加,Andriod,16957,2018-08-04
空想,Andriod,16667,2018-08-04
海伦娜,Andriod,15629,2018-08-04
纳尔逊,Andriod,15402,2018-08-04
黎赛留,Andriod,15264,2018-08-04
贝尔法斯特,Andriod,14115,2018-08-04
提尔比茨,iOS,13964,2018-08-04
突击者,Andriod,13441,2018-08-04
罗德尼,iOS,13145,2018-08-04
大青花鱼,iOS,12687,2018-08-04
长春,Andriod,12167,2018-08-04
阿拉斯加,iOS,11298,2018-08-04
维内托,iOS,7802,2018-08-04
胡德,Andriod,23089,2018-08-06
埃塞克斯,Andriod,22958,2018-08-06
俾斯麦,Andriod,22324,2018-08-06
列克星敦,iOS,19383,2018-08-06
皇家方舟,iOS,18619,2018-08-06
昆西,Andriod,18211,2018-08-06
欧根亲王,iOS,17853,2018-08-06
声望,Andriod,17397,2018-08-06
萨拉托加,Andriod,16982,2018-08-06
空想,Andriod,16698,2018-08-06
海伦娜,Andriod,15704,2018-08-06
纳尔逊,Andriod,15468,2018-08-06
黎赛留,Andriod,15380,2018-08-06
贝尔法斯特,Andriod,14244,2018-08-06
提尔比茨,iOS,14036,2018-08-06
突击者,Andriod,13450,2018-08-06
罗德尼,iOS,13251,2018-08-06
大青花鱼,iOS,12992,2018-08-06
长春,Andriod,12171,2018-08-06
阿拉斯加,iOS,11321,2018-08-06
维内托,iOS,7934,2018-08-06
胡德,Andriod,23102,2018-08-07
埃塞克斯,Andriod,22973,2018-08-07
俾斯麦,Andriod,22400,2018-08-07
列克星敦,iOS,19408,2018-08-07
皇家方舟,iOS,18637,2018-08-07
昆西,Andriod,18217,2018-08-07
欧根亲王,iOS,17957,2018-08-07
声望,Andriod,17484,2018-08-07
萨拉托加,Andriod,17041,2018-08-07
空想,Andriod,16834,2018-08-07
海伦娜,Andriod,15730,2018-08-07
纳尔逊,Andriod,15522,2018-08-07
黎赛留,Andriod,15380,2018-08-07
贝尔法斯特,Andriod,14248,2018-08-07
提尔比茨,iOS,14084,2018-08-07
突击者,Andriod,13465,2018-08-07
罗德尼,iOS,13279,2018-08-07
大青花鱼,iOS,12997,2018-08-07
长春,Andriod,12246,2018-08-07
阿拉斯加,iOS,11326,2018-08-07
维内托,iOS,7936,2018-08-07
胡德,Andriod,23111,2018-08-08
埃塞克斯,Andriod,23006,2018-08-08
俾斯麦,Andriod,22420,2018-08-08
列克星敦,iOS,19408,2018-08-08
皇家方舟,iOS,18640,2018-08-08
昆西,Andriod,18239,2018-08-08
欧根亲王,iOS,18004,2018-08-08
声望,Andriod,17498,2018-08-08
萨拉托加,Andriod,17088,2018-08-08
空想,Andriod,16834,2018-08-08
海伦娜,Andriod,15742,2018-08-08
纳尔逊,Andriod,15575,2018-08-08
黎赛留,Andriod,15493,2018-08-08
贝尔法斯特,Andriod,14278,2018-08-08
提尔比茨,iOS,14084,2018-08-08
突击者,Andriod,13478,2018-08-08
罗德尼,iOS,13375,2018-08-08
大青花鱼,iOS,13011,2018-08-08
长春,Andriod,12246,2018-08-08
阿拉斯加,iOS,11328,2018-08-08
维内托,iOS,7960,2018-08-08
胡德,Andriod,23149,2018-08-09
埃塞克斯,Andriod,23020,2018-08-09
俾斯麦,Andriod,22463,2018-08-09
列克星敦,iOS,19428,2018-08-09
皇家方舟,iOS,18640,2018-08-09
昆西,Andriod,18362,2018-08-09
欧根亲王,iOS,18013,2018-08-09
声望,Andriod,17498,2018-08-09
萨拉托加,Andriod,17186,2018-08-09
空想,Andriod,16842,2018-08-09
海伦娜,Andriod,15859,2018-08-09
纳尔逊,Andriod,15699,2018-08-09
黎赛留,Andriod,15509,2018-08-09
贝尔法斯特,Andriod,14289,2018-08-09
提尔比茨,iOS,14084,2018-08-09
突击者,Andriod,13534,2018-08-09
罗德尼,iOS,13396,2018-08-09
大青花鱼,iOS,13016,2018-08-09
长春,Andriod,12246,2018-08-09
阿拉斯加,iOS,11331,2018-08-09
维内托,iOS,8021,2018-08-09
胡德,Andriod,23288,2018-08-10
埃塞克斯,Andriod,23042,2018-08-10
俾斯麦,Andriod,22505,2018-08-10
列克星敦,iOS,19433,2018-08-10
皇家方舟,iOS,18669,2018-08-10
昆西,Andriod,18363,2018-08-10
欧根亲王,iOS,18028,2018-08-10
声望,Andriod,17506,2018-08-10
萨拉托加,Andriod,17204,2018-08-10
空想,Andriod,16932,2018-08-10
纳尔逊,Andriod,15894,2018-08-10
海伦娜,Andriod,15886,2018-08-10
黎赛留,Andriod,15526,2018-08-10
贝尔法斯特,Andriod,14346,2018-08-10
提尔比茨,iOS,14096,2018-08-10
突击者,Andriod,13536,2018-08-10
罗德尼,iOS,13416,2018-08-10
大青花鱼,iOS,13027,2018-08-10
长春,Andriod,12297,2018-08-10
阿拉斯加,iOS,11340,2018-08-10
维内托,iOS,8036,2018-08-10
胡德,Andriod,23358,2018-08-11
埃塞克斯,Andriod,23062,2018-08-11
俾斯麦,Andriod,22507,2018-08-11
列克星敦,iOS,19517,2018-08-11
皇家方舟,iOS,18675,2018-08-11
昆西,Andriod,18363,2018-08-11
欧根亲王,iOS,18033,2018-08-11
声望,Andriod,17528,2018-08-11
萨拉托加,Andriod,17204,2018-08-11
空想,Andriod,16932,2018-08-11
海伦娜,Andriod,15928,2018-08-11
纳尔逊,Andriod,15902,2018-08-11
黎赛留,Andriod,15531,2018-08-11
贝尔法斯特,Andriod,14357,2018-08-11
提尔比茨,iOS,14198,2018-08-11
突击者,Andriod,13598,2018-08-11
罗德尼,iOS,13473,2018-08-11
大青花鱼,iOS,13033,2018-08-11
长春,Andriod,12327,2018-08-11
阿拉斯加,iOS,11340,2018-08-11
维内托,iOS,8065,2018-08-11
胡德,Andriod,23386,2018-08-12
埃塞克斯,Andriod,23097,2018-08-12
俾斯麦,Andriod,22602,2018-08-12
列克星敦,iOS,19562,2018-08-12
皇家方舟,iOS,18686,2018-08-12
昆西,Andriod,18385,2018-08-12
欧根亲王,iOS,18046,2018-08-12
声望,Andriod,17577,2018-08-12
萨拉托加,Andriod,17204,2018-08-12
空想,Andriod,16959,2018-08-12
海伦娜,Andriod,15937,2018-08-12
纳尔逊,Andriod,15920,2018-08-12
黎赛留,Andriod,15567,2018-08-12
贝尔法斯特,Andriod,14373,2018-08-12
提尔比茨,iOS,14208,2018-08-12
突击者,Andriod,13598,2018-08-12
罗德尼,iOS,13484,2018-08-12
大青花鱼,iOS,13050,2018-08-12
长春,Andriod,12354,2018-08-12
阿拉斯加,iOS,11340,2018-08-12
维内托,iOS,8104,2018-08-12
胡德,Andriod,23393,2018-08-13
埃塞克斯,Andriod,23127,2018-08-13
俾斯麦,Andriod,22612,2018-08-13
列克星敦,iOS,19562,2018-08-13
皇家方舟,iOS,18688,2018-08-13
昆西,Andriod,18385,2018-08-13
欧根亲王,iOS,18066,2018-08-13
声望,Andriod,17577,2018-08-13
萨拉托加,Andriod,17204,2018-08-13
空想,Andriod,16965,2018-08-13
海伦娜,Andriod,15937,2018-08-13
纳尔逊,Andriod,15922,2018-08-13
黎赛留,Andriod,15567,2018-08-13
提尔比茨,iOS,14429,2018-08-13
贝尔法斯特,Andriod,14378,2018-08-13
突击者,Andriod,13617,2018-08-13
罗德尼,iOS,13487,2018-08-13
大青花鱼,iOS,13054,2018-08-13
长春,Andriod,12419,2018-08-13
阿拉斯加,iOS,11340,2018-08-13
维内托,iOS,8104,2018-08-13
胡德,Andriod,23444,2018-08-14
埃塞克斯,Andriod,23162,2018-08-14
俾斯麦,Andriod,22632,2018-08-14
列克星敦,iOS,19570,2018-08-14
皇家方舟,iOS,18711,2018-08-14
昆西,Andriod,18419,2018-08-14
欧根亲王,iOS,18144,2018-08-14
声望,Andriod,17596,2018-08-14
萨拉托加,Andriod,17247,2018-08-14
空想,Andriod,16982,2018-08-14
海伦娜,Andriod,16016,2018-08-14
纳尔逊,Andriod,15933,2018-08-14
