name,type,value,date
声望,Andriod,17577,2018-08-13
萨拉托加,Andriod,17204,2018-08-13
空想,Andriod,16965,2018-08-13
海伦娜,Andriod,15937,2018-08-13
纳尔逊,Andriod,15922,2018-08-13
黎赛留,Andriod,15567,2018-08-13
提尔比茨,iOS,14429,2018-08-13
贝尔法斯特,Andriod,14378,2018-08-13
突击者,Andriod,13617,2018-08-13
罗德尼,iOS,13487,2018-08-13
大青花鱼,iOS,13054,2018-08-13
长春,Andriod,12419,2018-08-13
阿拉斯加,iOS,11340,2018-08-13
维内托,iOS,8104,2018-08-13
胡德,Andriod,23444,2018-08-14
埃塞克斯,Andriod,23162,2018-08-14
俾斯麦,Andriod,22632,2018-08-14
列克星敦,iOS,19570,2018-08-14
皇家方舟,iOS,18711,2018-08-14
昆西,Andriod,18419,2018-08-14
欧根亲王,iOS,18144,2018-08-14
声望,Andriod,17596,2018-08-14
萨拉托加,Andriod,17247,2018-08-14
空想,Andriod,16982,2018-08-14
海伦娜,Andriod,16016,2018-08-14
纳尔逊,Andriod,15933,2018-08-14
黎赛留,Andriod,15600,2018-08-14
提尔比茨,iOS,14429,2018-08-14
贝尔法斯特,Andriod,14389,2018-08-14
突击者,Andriod,13618,2018-08-14
罗德尼,iOS,13493,2018-08-14
大青花鱼,iOS,13072,2018-08-14
长春,Andriod,12489,2018-08-14
阿拉斯加,iOS,11340,2018-08-14
维内托,iOS,8147,2018-08-14
胡德,Andriod,23528,2018-08-15
埃塞克斯,Andriod,23462,2018-08-15
俾斯麦,Andriod,22638,2018-08-15
列克星敦,iOS,19598,2018-08-15
皇家方舟,iOS,18724,2018-08-15
昆西,Andriod,18431,2018-08-15
欧根亲王,iOS,18154,2018-08-15
声望,Andriod,17622,2018-08-15
萨拉托加,Andriod,17247,2018-08-15
空想,Andriod,16986,2018-08-15
海伦娜,Andriod,16043,2018-08-15
纳尔逊,Andriod,15943,2018-08-15
黎赛留,Andriod,15627,2018-08-15
贝尔法斯特,Andriod,14533,2018-08-15
提尔比茨,iOS,14429,2018-08-15
突击者,Andriod,13618,2018-08-15
罗德尼,iOS,13498,2018-08-15
大青花鱼,iOS,13098,2018-08-15
长春,Andriod,12511,2018-08-15
阿拉斯加,iOS,11389,2018-08-15
维内托,iOS,8147,2018-08-15
胡德,Andriod,23547,2018-08-16
埃塞克斯,Andriod,23483,2018-08-16
俾斯麦,Andriod,22658,2018-08-16
列克星敦,iOS,19611,2018-08-16
皇家方舟,iOS,18752,2018-08-16
昆西,Andriod,18431,2018-08-16
欧根亲王,iOS,18160,2018-08-16
声望,Andriod,17630,2018-08-16
萨拉托加,Andriod,17282,2018-08-16
空想,Andriod,17013,2018-08-16
海伦娜,Andriod,16153,2018-08-16
纳尔逊,Andriod,15956,2018-08-16
黎赛留,Andriod,15627,2018-08-16
贝尔法斯特,Andriod,14540,2018-08-16
提尔比茨,iOS,14429,2018-08-16
突击者,Andriod,13634,2018-08-16
罗德尼,iOS,13506,2018-08-16
大青花鱼,iOS,13100,2018-08-16
长春,Andriod,12532,2018-08-16
阿拉斯加,iOS,11392,2018-08-16
维内托,iOS,8184,2018-08-16
胡德,Andriod,23559,2018-08-17
埃塞克斯,Andriod,23499,2018-08-17
俾斯麦,Andriod,22746,2018-08-17
列克星敦,iOS,19629,2018-08-17
皇家方舟,iOS,18766,2018-08-17
昆西,Andriod,18435,2018-08-17
欧根亲王,iOS,18160,2018-08-17
声望,Andriod,17635,2018-08-17
萨拉托加,Andriod,17290,2018-08-17
空想,Andriod,17018,2018-08-17
海伦娜,Andriod,16168,2018-08-17
纳尔逊,Andriod,15966,2018-08-17
黎赛留,Andriod,15657,2018-08-17
贝尔法斯特,Andriod,14564,2018-08-17
提尔比茨,iOS,14429,2018-08-17
突击者,Andriod,13634,2018-08-17
罗德尼,iOS,13516,2018-08-17
大青花鱼,iOS,13106,2018-08-17
长春,Andriod,12560,2018-08-17
阿拉斯加,iOS,11630,2018-08-17
维内托,iOS,8184,2018-08-17
胡德,Andriod,23567,2018-08-18
埃塞克斯,Andriod,23513,2018-08-18
俾斯麦,Andriod,22846,2018-08-18
列克星敦,iOS,19643,2018-08-18
皇家方舟,iOS,18772,2018-08-18
昆西,Andriod,18450,2018-08-18
欧根亲王,iOS,18173,2018-08-18
声望,Andriod,17698,2018-08-18
萨拉托加,Andriod,17290,2018-08-18
空想,Andriod,17156,2018-08-18
海伦娜,Andriod,16258,2018-08-18
纳尔逊,Andriod,15979,2018-08-18
黎赛留,Andriod,15658,2018-08-18
贝尔法斯特,Andriod,14576,2018-08-18
提尔比茨,iOS,14525,2018-08-18
罗德尼,iOS,13698,2018-08-18
突击者,Andriod,13663,2018-08-18
大青花鱼,iOS,13136,2018-08-18
长春,Andriod,12607,2018-08-18
阿拉斯加,iOS,11631,2018-08-18
维内托,iOS,8287,2018-08-18
胡德,Andriod,23568,2018-08-19
埃塞克斯,Andriod,23533,2018-08-19
俾斯麦,Andriod,22874,2018-08-19
列克星敦,iOS,19682,2018-08-19
皇家方舟,iOS,18801,2018-08-19
昆西,Andriod,18671,2018-08-19
欧根亲王,iOS,18191,2018-08-19
声望,Andriod,17716,2018-08-19
萨拉托加,Andriod,17334,2018-08-19
空想,Andriod,17156,2018-08-19
海伦娜,Andriod,16273,2018-08-19
纳尔逊,Andriod,15994,2018-08-19
黎赛留,Andriod,15740,2018-08-19
贝尔法斯特,Andriod,14586,2018-08-19
提尔比茨,iOS,14534,2018-08-19
罗德尼,iOS,13750,2018-08-19
突击者,Andriod,13671,2018-08-19
大青花鱼,iOS,13140,2018-08-19
长春,Andriod,12674,2018-08-19
阿拉斯加,iOS,11631,2018-08-19
维内托,iOS,8327,2018-08-19
胡德,Andriod,23589,2018-08-21
埃塞克斯,Andriod,23577,2018-08-21
俾斯麦,Andriod,22940,2018-08-21
列克星敦,iOS,19766,2018-08-21
皇家方舟,iOS,18870,2018-08-21
